epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.2555530266761179,3.341816675339942,0.33884297520661155,0.43067226890756305,0.3403225806451613,0.25126262626262624
2,0.05047004362718473,1.0927850380539894,0.6363636363636364,0.7888682745825603,0.6333333333333334,0.5780625762227175
3,0.035703183709448506,1.9957066932693124,0.6198347107438017,0.5478468899521531,0.6174731182795699,0.5399996145544249
4,0.029942842001835213,0.5587243983172812,0.8429752066115702,0.8857323232323232,0.8416666666666667,0.8352317570357805
5,0.046926496982304076,1.5335078507196158,0.768595041322314,0.8389851733119615,0.7666666666666666,0.6867836739762969
6,0.01951652262998264,2.074336177930217,0.7272727272727273,0.8562841530054646,0.7258064516129032,0.6667066337617186
7,0.021452450807931112,1.9498955652004497,0.7520661157024794,0.8375,0.7518817204301076,0.7145621270621271
8,0.017585241990585223,0.5073250188761449,0.8760330578512396,0.9058441558441559,0.8755376344086021,0.8689463019250253
9,0.009034368842783864,0.15825454331934452,0.9669421487603306,0.9705882352941176,0.9666666666666667,0.9669798171275646
10,0.01913550050941863,0.053019037730991814,0.9752066115702479,0.9763104838709677,0.9752688172043011,0.97511807290432
11,0.007688876163639736,0.037636766222421736,0.9917355371900827,0.9919354838709677,0.9916666666666667,0.9916643512086691
12,0.06484915446860888,0.17176981538532843,0.9421487603305785,0.9500000000000001,0.9419354838709678,0.9421137605563835
13,0.008664353064828432,0.13790347060421482,0.9752066115702479,0.9772727272727273,0.975,0.9749373433583959
14,0.014966257380776017,0.029593561310321093,0.9834710743801653,0.984375,0.9833333333333334,0.9833147942157954
15,0.015070040222612548,0.1743646198883652,0.9504132231404959,0.9539215686274509,0.9510752688172043,0.9504669540229885
16,0.03167371718214899,0.23020449653267772,0.9421487603305785,0.9449632352941176,0.9419354838709677,0.9403939413970482
17,0.030899343182212644,0.6768045648932457,0.859504132231405,0.8839743589743589,0.8591397849462366,0.8480852718201257
18,0.009247780191329977,0.07534058257937404,0.9669421487603306,0.9682459677419355,0.9669354838709677,0.9667406220469206
19,0.00822842300593977,0.0456436234443629,0.9834710743801653,0.9838709677419355,0.9838709677419355,0.9834699453551912
20,0.015524538874277852,0.3614926494206827,0.9504132231404959,0.9556623931623932,0.9500000000000001,0.950320281160782
21,0.00842374853145004,0.012793543592223955,0.9834710743801653,0.9848484848484849,0.9833333333333334,0.9835668103448276
22,0.018994265807453215,0.10772484662447823,0.9752066115702479,0.9765625,0.975,0.9751092521119482
23,0.0380831801041143,6.027728319168091,0.7603305785123967,0.8712458286985539,0.7596774193548388,0.7277596935707376
24,0.01934243538971714,7.939084053039551,0.7520661157024794,0.8636853448275862,0.7518817204301076,0.7251664421019259
25,0.01219242093676228,0.5133427008986473,0.9504132231404959,0.9544592030360531,0.9513440860215054,0.9501500934713834
