epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.23793137033334782,4.235112183610909,0.5083333333333333,0.4857918263090677,0.5083333333333333,0.4126224652540442
2,0.04715559069788264,2.4190722852945328,0.5833333333333334,0.7456202651515151,0.5833333333333334,0.5249780437666505
3,0.020049013089221496,3.899008960535866,0.6166666666666667,0.5076344086021505,0.6166666666666667,0.5376466528640442
4,0.055305008604562084,1.2416349241975695,0.7333333333333333,0.8297213622291022,0.7333333333333334,0.7040717187776011
5,0.04398275448399926,2.892198057224353,0.575,0.7708333333333333,0.575,0.5210825926295816
6,0.05058845292707349,2.2926008222275414,0.675,0.521875,0.675,0.5842431761786601
7,0.08568720912538288,1.5679903059499338,0.7916666666666666,0.8602140856342537,0.7916666666666666,0.7541805650587297
8,0.07913629252805314,0.7133180275546636,0.9083333333333333,0.9266826923076923,0.9083333333333333,0.9077073550204132
9,0.046538884426662395,0.032269947249744746,0.975,0.9763104838709677,0.975,0.974679228478388
10,0.017298641256451038,0.4390049347033089,0.8916666666666667,0.9086973970874899,0.8916666666666666,0.8889157636738906
11,0.005740992503030113,0.18017698175352348,0.9416666666666667,0.9486607142857143,0.9416666666666667,0.9406896487268275
12,0.0020124754911164692,0.049000803846864116,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
13,0.026928731468497943,0.08467420330265973,0.975,0.9763104838709677,0.975,0.974679228478388
14,0.04803394638193206,0.43331896035351747,0.9166666666666666,0.925,0.9166666666666667,0.916974833076528
15,0.19769803195137478,0.31707384609035216,0.925,0.9330357142857143,0.925,0.925560644788149
16,0.13372356036861968,0.27482840907759964,0.9083333333333333,0.9205882352941176,0.9083333333333333,0.9056419683257919
17,0.06032499609864317,0.1961403638124466,0.925,0.9384398496240602,0.9249999999999999,0.9270310665100886
18,0.04777398881419832,0.15091739711351693,0.9583333333333334,0.9642857142857143,0.9583333333333334,0.9580419580419581
19,0.07622805001993847,0.08990181604167446,0.9666666666666667,0.9705882352941176,0.9666666666666667,0.9665178571428572
20,0.10988927256661438,1.274567449988183,0.7916666666666666,0.8589527027027027,0.7916666666666666,0.7637157618500903
21,0.07213273211739087,0.23611518342295312,0.9666666666666667,0.968939393939394,0.9666666666666668,0.9669039269711391
22,0.08380920112587421,0.07883014981052838,0.9833333333333333,0.984375,0.9833333333333334,0.9834609075997813
23,0.032581922943673784,0.0347874029716877,0.9833333333333333,0.9836021505376344,0.9833333333333334,0.9833310178753358
24,0.04225164376135405,3.2473004907369614,0.9083333333333333,0.9205827067669172,0.9083333333333333,0.9097896871997437
25,0.006830752927308206,1.0793086374178529,0.95,0.9553571428571429,0.95,0.9506698736681203
