epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.41131581317993904,2.8566495929844677,0.25833333333333336,0.1885593220338983,0.25833333333333336,0.11697635135135136
2,0.1548061542393219,0.7804558202624321,0.7083333333333334,0.7830661476887892,0.7083333333333334,0.6971735373549949
3,0.06108902138282334,1.3168385289609432,0.65,0.7922619047619047,0.65,0.6229373800802372
4,0.02035342109194326,1.1315174036135431,0.6833333333333333,0.710251937984496,0.6833333333333333,0.6144861860615285
5,0.029678615518928236,0.3002364197177485,0.9,0.9118939038293877,0.9,0.9012854346534307
6,0.023688669362473453,0.9997218921780586,0.7583333333333333,0.8674055829228243,0.7583333333333333,0.7590750778695965
7,0.016433636676200906,1.1726778211304918,0.8,0.8754716569608934,0.7999999999999999,0.7775867360011104
8,0.009187289312033118,0.9045399967581034,0.825,0.884375,0.8250000000000001,0.8120879120879121
9,0.03394500267477856,0.6246151397936046,0.825,0.8622973925299507,0.8250000000000001,0.8121894087647512
10,0.09142360026993218,0.4523560121888295,0.875,0.9058441558441559,0.875,0.8707706766917294
11,0.027380062278919672,0.35650054551022947,0.9583333333333334,0.9606060606060606,0.9583333333333334,0.9582706766917293
12,0.0064049862173100516,0.21029453904089124,0.975,0.9772727272727273,0.975,0.974937343358396
13,0.013561272007908912,0.16430654558052993,0.9666666666666667,0.9682459677419355,0.9666666666666667,0.9664825071669125
14,0.01973018216637185,0.1668302041992622,0.95,0.9507488479262672,0.9500000000000001,0.9499717354437536
15,0.038626799968751,0.11320295929908752,0.9333333333333333,0.9395276292335116,0.9333333333333333,0.9311180368373764
16,0.04292305170806245,0.26835763081908226,0.9416666666666667,0.9481566820276498,0.9416666666666667,0.9419963162897025
17,0.01063754117445393,0.09407546417772572,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
18,0.0025652508240103,0.11882276152300619,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
19,0.0014112935193606386,0.08528224277808327,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
20,0.005321094992429989,0.05547209630321959,0.975,0.9752502780867631,0.975,0.9749930536260072
21,0.05280482223474058,0.279718983816565,0.9333333333333333,0.9422860360360361,0.9333333333333333,0.9326062718422952
22,0.022873996392703586,0.249142836779356,0.9583333333333334,0.9609375,0.9583333333333334,0.9584112687404679
23,0.027868840947414885,0.13046133749594446,0.9666666666666667,0.9666481275491287,0.9666666666666667,0.9665231082708159
24,0.04752162697390774,0.08965243399143219,0.975,0.9752688172043011,0.975,0.9749976845420025
25,0.02899179017080197,0.5316799866644857,0.95,0.9546146044624746,0.95,0.9506927408563782
