epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.4335108706910236,0.45735559608930576,0.8582089552238806,0.8580858700226673,0.8549783861918838,0.8530649985987054
2,0.2209145064264828,0.7509377277814425,0.7711442786069652,0.7897509940419858,0.7655329288684253,0.7608674405396255
3,0.22448863974754132,1.539378970127123,0.7412935323383084,0.8415503172856115,0.740479951706428,0.7287411610083524
4,0.22583253217824534,0.22456554756858027,0.917910447761194,0.9150938840271557,0.915946492520146,0.9150975082590772
5,0.17624065736947836,0.2786607216993126,0.9253731343283582,0.9257235303105505,0.921898444286504,0.9197459370158425
6,0.18255437636638389,0.26371407569794114,0.927860696517413,0.9257166907166908,0.9248460938921679,0.9229382555717242
7,0.19490105881556577,0.22949567515482927,0.9328358208955224,0.93334489593413,0.9292752936490768,0.9262303812867642
8,0.16116977402684735,0.2717734982419634,0.9079601990049752,0.903861748684403,0.9057116856273248,0.9041759915956669
9,0.15663358191137805,0.25059370952658355,0.9154228855721394,0.9155540782538916,0.9118695374373504,0.9105684307346468
10,0.16692472630929128,0.27739459015272305,0.9303482587064676,0.9335816848018753,0.9270009510762268,0.9242376757330221
11,0.14768870790288144,0.2738541181224369,0.9353233830845771,0.9363676978355245,0.9318486930427229,0.9293481048841916
12,0.14679248381734772,0.38636843555027467,0.8980099502487562,0.9044715908066867,0.8947276135790089,0.8942135355562811
13,0.14366541123565504,0.2287509089976713,0.917910447761194,0.9157866506518294,0.9146937531428122,0.9135066032021445
14,0.16064977728049545,0.4693219707068448,0.9154228855721394,0.9123587559648868,0.9122503424904463,0.9104249644887253
15,0.1731802509714137,0.497513298816417,0.8880597014925373,0.8907328559094787,0.8864804529957029,0.8853720102997906
16,0.12434497319490594,0.376737737884897,0.8980099502487562,0.898396629778672,0.8959362014196537,0.8959286372672094
17,0.12646939536994872,0.31668472605645637,0.927860696517413,0.9285719762945436,0.9246641970522567,0.9232931507079926
18,0.09902350568924756,0.3173975898624541,0.9203980099502488,0.9179912717438072,0.9177681140692173,0.917324171533091
19,0.09721105122098736,0.40622473345487936,0.8905472636815921,0.8879986195644852,0.8881029322301225,0.888017587399915
20,0.09652144092080348,0.3692811585578878,0.8880597014925373,0.8886551822594461,0.8851034681664142,0.8850100355792955
21,0.09085325520558685,0.2852611111817308,0.8930348258706468,0.894532602369949,0.8914313868888821,0.8918890302865835
22,0.0951110836182374,0.3640084903888211,0.8930348258706468,0.8908810203880626,0.8899485101626569,0.8900393530270309
23,0.08186573655499767,0.3395822566361368,0.9154228855721394,0.9110672504314272,0.9121579504447772,0.9103307760180028
24,0.1418229710748967,0.9324128463855371,0.7810945273631841,0.8155519139099159,0.7796153962604319,0.782176955022101
25,0.17705702496802106,0.41817068434186067,0.8830845771144279,0.8854179726037543,0.8826016570013975,0.8819048133874282
