epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.48247495604058105,1.0172469182871282,0.7333333333333333,0.6000797448165869,0.7333333333333334,0.6490147783251231
2,0.1778559145828088,1.3181857280433178,0.5916666666666667,0.8260919540229885,0.5916666666666667,0.5704802259887005
3,0.10148971844464541,1.6260198848322034,0.525,0.7415441176470589,0.525,0.4639003853289568
4,0.06850983957604816,0.9011690281331539,0.6833333333333333,0.7990583804143127,0.6833333333333333,0.6768366464995679
5,0.034808209538459776,1.3862832114100456,0.7333333333333333,0.8620812544547398,0.7333333333333333,0.7127396411054869
6,0.03718443524752123,1.4300204683095217,0.7583333333333333,0.842948717948718,0.7583333333333333,0.7343281985451433
7,0.0740126913258185,0.725620728568174,0.7833333333333333,0.8782991202346041,0.7833333333333333,0.7311957569913211
8,0.0508807030118381,0.2836463199928403,0.9,0.9285714285714286,0.9,0.9020146520146521
9,0.055301754844064514,1.0120138009419861,0.7833333333333333,0.8839285714285714,0.7833333333333333,0.7332421340629275
10,0.031131775864438774,0.3805304713314399,0.875,0.9041019955654102,0.875,0.8730402464914802
11,0.034507434027424705,1.529503863044738,0.7916666666666666,0.8863636363636364,0.7916666666666667,0.7478991596638656
12,0.017034494253069472,0.1136358548537828,0.9416666666666667,0.9475274725274726,0.9416666666666667,0.9420539206556156
13,0.03729303726843985,0.16587821580469608,0.95,0.9583333333333334,0.95,0.9512568547451196
14,0.03920327239126588,0.6193331679678522,0.825,0.8919354838709678,0.825,0.7987862547288777
15,0.03663888939966758,0.07028202010163409,0.975,0.9752502780867631,0.975,0.9749930536260072
16,0.05452431639423594,0.04506120135192759,0.9833333333333333,0.9836021505376344,0.9833333333333334,0.9833310178753357
17,0.02970373270024235,0.0042811599391257005,1.0,1.0,1.0,1.0
18,0.005722498918233517,0.006383038844433031,1.0,1.0,1.0,1.0
19,0.0019476216221467743,0.017379932294716127,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
20,0.007323725776344266,0.02449418387065294,0.9833333333333333,0.984375,0.9833333333333334,0.9833147942157954
21,0.005938735195134844,0.030142681475581412,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
22,0.06069243306313486,0.10063797037037148,0.9833333333333333,0.984375,0.9833333333333334,0.9833147942157954
23,0.030810792515209566,0.015406849022838287,1.0,1.0,1.0,1.0
24,0.004832926356175449,0.0036394756598383537,1.0,1.0,1.0,1.0
25,0.025161851810116785,0.027930960641242564,0.9916666666666667,0.9919354838709677,0.9916666666666667,0.9916643512086691
